code	name	address
ORANGE	Richard K. Hemingway Orangerie	280 S Wakara Way, Salt Lake City, UT 84112
OSH	Orson Spencer Hall (Demolished 2017)	260 Central Campus Dr, Salt Lake City, UT 84112
PAB	Performing Arts Building	240 S 1500 E, Salt Lake City, UT 84112
PARK	John R. Park Building	201 Presidents Cir, Salt Lake City, UT 84112
PARKING	Parking Services (demolished 1999)	1910 Research Rd, Salt Lake City, UT 84112
PCEB	John & Marcia Price Computing & Engineering Building	75 South Central Campus Dr., Salt Lake City, UT 84112
PCH	Primary Children's Hospital	100 N Mario Capecchi Drive, Salt Lake City, UT 84113
PCH LEHI	Primary Children's Hospital - Lehi	2250 N Miller Campus Dr., Lehi, UT 84043
PCHG	Primary Children's Hospital Garage	110 North Mario Capecchi, Salt Lake City, UT 84113
PHARMR	Pharmacy Research (demolished)	25 S 2000 E, Salt Lake City, UT 84112
PHC	Chase N. Peterson Heritage Center	151 Connor Rd, Salt Lake City, UT 84112
PHYS	Physics Building	125 S 1400 E, Salt Lake City, UT 84112
PLAZA	Cauldron Legacy Plaza Visitors Ctr	491 S 1400 E, Salt Lake City, UT 84112
PLEC	Pierre Lassonde Entrepreneur Center	105 Fort Douglas Blvd, Salt Lake City, UT 84113
PMT	Roy W. & Elizabeth E. Simmons Pioneer Memorial Theatre	300 S 1400 E, Salt Lake City, UT 84112
PP SER	Physical Plant Services	1745 E S Campus Dr, Salt Lake City, UT 84112
PPO GH	PPO Greenhouse	2166 Pollock Rd, Salt Lake City, UT 84113
PS 1	Pressure Station #1 (EE Jones)	2055 Medical Dr S, Salt Lake City, UT 84112
PS 2	Pressure Station #2 (Dumke 535)	110 N Medical Dr E, Salt Lake City, UT 84112
PS 3	Pressure Station #3	40.769063 , -111.831926, Salt Lake City, UT 84112
PS 4	Pressure Station #4 (NW of #660)	S Connor Rd, Salt Lake City, UT 84112
PS 5	Pressure Station #5 (Browning)	40.765704 , -111.844268, Salt Lake City, UT 84112
PTAB	John & Marcia Price Theatre Arts Building	332 S 1400 E, Salt Lake City, UT 84112
PUMP 2	Pumphouse #2 (Stad)	477 S 1445 East, Salt Lake City, UT 84112
PUMP 3	Pumphouse #3 (new) Qwest?	500 W
PUMP 4	Pumphouse #4	145 Wasatch Dr, Salt Lake City, UT 84112
PUMP 5	Pumphouse #5 (Sill)	161 S Campus Ctr Dr, Salt Lake City, UT 84112
PUMP 6	Pumphouse #6 (Bus)	1641 Central Campus Dr, Salt Lake City, UT 84112
PUMP 7	Pressure Station (Naval Sci)	104 S 1452 E, Salt Lake City, UT 84112
PUMP 8	Pumphouse #8 (Vn Cot)	1805 Balif Rd, Salt Lake City, UT 84112
RAB	Research Administration Building	75 S 2000 E, Salt Lake City, UT 84112
RAD TC	School of Radiologic Tech (demo)	15 N Medical Dr E, Salt Lake City, UT 84112
RADIO	Radiopharm/Radiology (demolished)	35 S 2000 E, Salt Lake City, UT 84112
RB ADM	Radiobiology Administration	40 N 2030 E, Salt Lake City, UT 84112
RB GRE	Red Butte Greenhouse	2190 Red Butte Canyon Road, Salt Lake City, UT 84112
RB TRA	Red Butte Trailer	2190 Red Butte Canyon Road, Salt Lake City, UT 84112
RBGAMP	Red Butte Garden Amphitheatre	2280 East Red Butte Canyon Road (100 South), Salt Lake City, UT 84112
RD HI	Radiological Health (demolished)	85 S 2000 E, Salt Lake City, UT 84112
RDT STUDIO	Reportory Dance Theatre Studio	Salt Lake City, UT 84112
RECREA	Outdoor Recreation (demo 5/02)	1905 Research Rd, Salt Lake City, UT 84112
RECYCL	Recycling Center	1725 East South Campus Drive, Salt Lake City, UT 84112
REGI	Rodent Ecology Genetics & Immun (demolished 1999)	70 S Medical Dr E, Salt Lake City, UT 84112
ROCS	KUEN Communications Facilities - multiple sites	Various Kuen Locations - Transmitters
ROSEN	Rosenblatt House	1480 Military Way, Salt Lake City, UT 84103
RR	Playfield RR & Concessions (Demolished 2018)	Salt Lake City, UT 84112
RSRVD	RESERVED for proposed new buildings or leases	
RWMF	Regulated Waste Management Facility	2205 Red Butte Rd, Salt Lake City, UT 84112
S BEH	Social Beh. Science Lecture Hall	392 S 1530 E, Salt Lake City, UT 84112
S PROJ	Sponsored Projects	1471 E Federal Way, Salt Lake City, UT 84102-1870
S&R/US	S&R/U Surplus & Salvage (demo 5/02)	1855 Research Rd, Salt Lake City, UT 84112
SAEC	Beverley Taylor Sorenson Arts and Education Complex	1721 Campus Center Drive, Salt Lake City, UT 84112
SAFETY	U of U Public Safety	1658 East 500 South, Salt Lake City, UT 84112
SANDY	University of Utah Sandy Center	10011 S Centennial Pkwy, Sandy, UT 84070
SBALL	Softball Dugouts (HPER)	1830 E Balif Rd, Salt Lake City, UT 84112
